iter	Logloss
0	0.1219527598
1	0.04904464862
2	0.04326397177
3	0.02853921145
4	0.0257790872
5	0.01773480125
6	0.01551650699
7	0.01533369996
8	0.01278006997
9	0.01120653834
10	0.01048717694
11	0.009781857711
12	0.009025265657
13	0.008291361328
14	0.007824386644
15	0.007195749059
16	0.007123346669
17	0.006524361327
18	0.005690258243
19	0.00503352925
